,pl_id,모델이름,링크제목,나무위키링크
0,,LG Optimus GK  ,옵티머스 GK,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20GK
0,,Optimus G Pro  ,옵티머스G,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4G
0,,LG Vu3  ,뷰3,https://namu.wiki/w/%EB%B7%B03
0,,LG 밴드플레이  ,밴드플레이,https://namu.wiki/w/%EB%B0%B4%EB%93%9C%ED%94%8C%EB%A0%88%EC%9D%B4
0,,PRADA 3.0  ,프라다폰 3.0,https://namu.wiki/w/%ED%94%84%EB%9D%BC%EB%8B%A4%ED%8F%B0%203.0
0,,PRADA 3.0  ,프라다폰 3.0,https://namu.wiki/w/%ED%94%84%EB%9D%BC%EB%8B%A4%ED%8F%B0%203.0
0,,OPTIMUS Q2  ,옵티머스Q2,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4Q2
0,,PRADA 3.0  ,프라다폰 3.0,https://namu.wiki/w/%ED%94%84%EB%9D%BC%EB%8B%A4%ED%8F%B0%203.0
0,,LG Q7  ,Q7,https://namu.wiki/w/Q7
0,,LG Q70  ,Q70,https://namu.wiki/w/Q70
0,,LG Q92  ,Q92,https://namu.wiki/w/Q92
0,,Optimus Z  ,옵티머스 Z,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20Z
0,,GALAXY GRAND  ,갤럭시 그랜드 시리즈,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EA%B7%B8%EB%9E%9C%EB%93%9C%20%EC%8B%9C%EB%A6%AC%EC%A6%88
0,,GALAXY Gio  ,갤럭시 지오,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%A7%80%EC%98%A4
0,,Samsung Galaxy A10  ,갤럭시 A10,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A10
0,,Samsung Galaxy A21s  ,갤럭시 A21s,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A21s
0,,Samsung Galaxy A7 2017  ,갤럭시 A7(2017),https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7(2017)
